permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/bluefin-payment-systems,Bluefin Payment Systems,http://www.Bluefin.com,Data Security|Finance|FinTech|Telecommunications,-,operating,USA,GA,Atlanta,Atlanta,1,2007-01-03,2014-12-15,2014-12-15
/organization/blueleaf,Blueleaf,http://www.blueleaf.com,Finance|SaaS,-,operating,USA,MA,Boston,Boston,3,1999-01-01,2010-12-23,2014-12-01
/organization/bluemax-networks,BlueMax Networks,https://www.bluemaxnetworks.com/,E-Commerce|Finance Technology|Marketplaces,200000,operating,,,,,1,2012-01-01,2014-06-01,2014-06-01
/organization/bluevine,BlueVine,http://www.bluevine.com,Consumer Lending|Finance|FinTech|Small and Medium Businesses,24000000,operating,USA,CA,SF Bay Area,Palo Alto,5,2013-07-01,2013-08-05,2015-09-17
/organization/bny-mellon,BNY Mellon,http://www.bnymellon.com,Finance|Financial Services|Trading,650000,ipo,USA,NY,New York City,New York,1,,2013-12-05,2013-12-05
/organization/boardvote-inc,Boardvote,http://www.boardvote.com,Finance|News|Social Media,450000,operating,USA,NY,New York City,New York,2,2012-01-02,2012-03-01,2013-07-01
/organization/bobber-interactive-corporation,Bobber Interactive Corporation,http://www.bobberinteractive.com,Finance|Software,1400000,operating,USA,WA,Seattle,Seattle,1,2010-01-01,2011-09-20,2011-09-20
/organization/bodetree,BodeTree,http://www.bodetree.com,Analytics|Business Intelligence|Finance|News|Optimization|Small and Medium Businesses,3400000,operating,USA,CO,Denver,Denver,2,2010-11-19,2013-04-17,2014-05-13
/organization/bolstr,Bolstr,https://bolstr.com,Finance Technology|Small and Medium Businesses,2325000,operating,USA,IL,Chicago,Chicago,2,2011-01-01,2013-03-13,2015-01-28
/organization/bolt-solutions,BOLT Solutions,http://www.boltinc.com,Finance|FinTech,29786274,operating,USA,NY,New York City,New York,3,2000-01-01,2004-09-01,2009-10-28
/organization/bond-street-marketplace,Bond Street,https://bondstreet.com,Finance|FinTech,112200000,operating,USA,NY,New York City,New York,4,2013-10-29,2014-02-20,2015-06-18
/organization/bondit,BondIT,http://www.bondit.co.il/,Finance,16249,operating,ISR,5,Tel Aviv,Herzliyya,1,2012-01-01,2015-07-19,2015-07-19
/organization/bondora,Bondora,http://www.bondora.com,Consumer Lending|Finance,7012586,operating,EST,1,Tallinn,Tallinn,4,2008-03-10,2009-08-22,2015-02-27
/organization/bonds-com,BONDS.COM,http://bonds.com,Finance,23100000,acquired,USA,NY,New York City,New York,2,2013-04-01,2011-03-01,2011-12-05
/organization/bondsy,Bondsy,http://bondsy.com,Curated Web|Finance|Peer-to-Peer|Social Commerce|Social Network Media,754466,operating,USA,NY,New York City,Brooklyn,2,2011-06-09,2012-05-13,2012-07-01
/organization/bookkeeping-express,BookKeeping Express,http://bookkeepingexpress.com,Accounting|Business Services|Finance Technology|Financial Services,5800000,operating,USA,NE,NE - Other,Virginia,1,1984-01-01,2015-03-03,2015-03-03
/organization/boostup,BoostUp,http://boostup.com/,Automotive|CRM|Crowdfunding|Finance|Incentives|Lead Generation|Real Estate,1000000,operating,USA,MI,Detroit,Detroit,2,2013-01-01,2013-10-23,2015-04-22
/organization/bootstraplabs,BootstrapLabs,http://bootstraplabs.com,Finance|Venture Capital,-,operating,USA,CA,SF Bay Area,San Francisco,2,2008-06-01,2008-06-01,2014-03-11
