permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/switchboard,Switchboard,http://www.switchboardhq.com,Communities|Education|Social Media,550000,operating,USA,OR,"Portland, Oregon",Portland,3,2012-01-01,2013-10-11,2014-11-10
/organization/switchnote,SwitchNote,http://www.switchnote.com,Colleges|Education|File Sharing,-,operating,USA,MD,Baltimore,Baltimore,1,2013-11-01,2014-01-01,2014-01-01
/organization/swivl,Swivl,http://swivl.com,Android|Apps|Education|iOS|Video,4550000,operating,USA,CA,SF Bay Area,San Carlos,7,2010-04-02,2011-05-31,2015-08-31
/organization/sxt-learning,SXT Learning,http://suixuntong.com/,Education,-,operating,CHN,23,Shanghai,Shanghai,1,2009-01-01,2015-04-16,2015-04-16
/organization/syllabuster,Syllabuster,http://www.syllabuster.com,Android|Apps|Big Data|Education|iOS|Mobile|Productivity Software,20000,operating,USA,CA,SF Bay Area,San Francisco,1,2012-02-01,2012-02-01,2012-02-01
/organization/sympoz,Craftsy,http://www.craftsy.com,EdTech|Education|Video,106000000,operating,USA,CO,Denver,Denver,4,2010-01-01,2011-09-14,2014-11-13
/organization/symtext,Symtext,http://www.symtext.com,Colleges|EdTech|Education|Publishing,-,operating,CAN,ON,Toronto,Toronto,1,,2009-01-01,2009-01-01
/organization/symynd,SyMynd,http://www.symynd.com,E-Commerce|Education|Publishing,-,operating,USA,CA,SF Bay Area,Fremont,1,2010-03-01,2013-03-05,2013-03-05
/organization/synap-2,Synap,https://synap.ac,Education,306154.655444503,closed,GBR,H3,Leeds,Leeds,1,2015-04-01,2015-08-14,2015-08-14
/organization/synergis-education,Synergis Education,http://www.synergiseducation.com,EdTech|Education,45732000,operating,USA,AZ,Phoenix,Chandler,3,2011-01-01,2013-09-25,2015-04-01
/organization/syracuse-university,Syracuse University,http://syr.edu/,Education,6000000,operating,USA,NY,Syracuse,Syracuse,2,2014-01-01,2014-04-10,2014-04-10
/organization/sysclass,SysClass,https://sysclass.com/,Education,2479000,operating,USA,TX,Dallas,Dallas,2,,2014-05-09,2014-05-09
/organization/taamkru,Taamkru,http://Taamkru.com,Education,620000,operating,THA,,,,1,,2014-07-30,2014-07-30
/organization/tabsys,TabSys,http://www.tabsys.net,Analytics|Android|Big Data Analytics|Business Intelligence|Education|iOS|SaaS|Sales and Marketing|Skill Assessment|Training,248648,operating,GBR,H9,London,London,2,2011-07-14,2013-04-01,2013-11-01
/organization/tabtor,Tabtor,http://tabtor.com,EdTech|Education,1000000,operating,USA,NJ,Newark,Kendall Park,1,2010-01-01,2013-06-12,2013-06-12
/organization/taeguek-reseach,Taegeuk Reseach,http://www.mathparks.biz/,Education,-,operating,KOR,11,Seoul,Seoul,1,2011-09-30,2013-12-01,2013-12-01
/organization/takelessons-com,TakeLessons,http://takelessons.com,Education|Local|Marketplaces|Music|Services|Software|Tutoring,19000000,operating,USA,CA,San Diego,San Diego,5,2008-07-11,2006-07-01,2014-03-25
/organization/taking-point,Taking Point,http://www.takingpoint.com,DOD/Military|EdTech|Education|Employment|Internet|Public Relations|Social Media|Tech Field Support,2020593,closed,USA,AZ,Phoenix,Scottsdale,2,2009-09-29,2012-06-15,2012-07-23
/organization/tale-me-stories,Tale Me Stories,http://signup.talemestories.com,Education|Kids|Parenting,25000,acquired,ARG,7,Buenos Aires,Buenos Aires,1,,2013-03-01,2013-03-01
/organization/talentsprint-educational-services,TalentSprint Educational Services,http://www.talentsprint.com,EdTech|Education,4000000,operating,IND,2,Hyderabad,Hyderabad,1,2008-12-01,2012-04-25,2012-04-25
/organization/tales2go,Tales2Go,http://tales2go.com,Education,3150000,operating,USA,MD,"Washington, D.C.",Bethesda,3,2009-01-01,2014-03-17,2015-03-25
/organization/talkmate-2,Talkmate,http://www.talkmate.com,Education|Online Education|Social Media,-,operating,,,,,1,2013-03-09,2014-02-18,2014-02-18
/organization/tapbookauthor,TapBookAuthor,http://tapbookauthor.com,Apps|Education|Publishing|Software,50000,operating,USA,CA,SF Bay Area,Palo Alto,1,2012-06-30,2013-02-05,2013-02-05
/organization/tapquad,"TAPQUAD, INC",http://www.tapquad.com/,Education|Educational Games|Entertainment|Health and Wellness|Kids|Mobile Games|Sports|Video Games,10000,operating,CAN,ON,Toronto,Milton,1,2014-12-08,2012-10-26,2012-10-26
/organization/taptolearn,TapToLearn,http://www.taptolearn.com,Education,-,operating,USA,CA,SF Bay Area,Menlo Park,3,2010-01-01,2011-01-01,2012-10-01
/organization/tareasplus,TareasPlus,http://www.tareasplus.com,Education|Marketplaces|Tutoring|Video,850000,operating,USA,CA,SF Bay Area,San Francisco,1,2012-09-01,2012-11-09,2012-11-09
/organization/tarena,Tarena,http://www.chinatarena.com,EdTech|Education,15000000,ipo,CHN,22,Beijing,Beijing,4,,2002-03-01,2008-11-01
/organization/targetx,TargetX,http://www.targetx.com/,Colleges|CRM|EdTech|Education|Recruiting,-,operating,USA,PA,Philadelphia,Conshohocken,1,1998-01-01,2014-01-01,2014-01-01
/organization/teach-com,Teach.com,http://teach.com/,EdTech|Education,10600000,acquired,USA,IL,Chicago,Elk Grove Village,2,,1999-08-30,2000-02-15
/organization/teach-n-go,Teach 'n Go,http://www.teachngo.com,EdTech|Education|SaaS|Software|Startups|Systems,498016,operating,NLD,7,Amsterdam,Amsterdam,1,2013-04-01,2014-11-30,2014-11-30
/organization/teachable,Teachable,http://teachable.net,Education|Media|Social Network Media|Startups,158567,operating,GBR,F2,London,Basingstoke,1,2007-09-01,2008-03-01,2008-03-01
/organization/teachbase,Teachbase,http://teachbase.ru/,Education|Internet|SaaS,288000,closed,RUS,48,Moscow,Moscow,2,,2012-10-02,2012-10-02
/organization/teachboost,TeachBoost,http://teachboost.com,All Students|Education|Teachers,1500000,operating,USA,NY,New York City,Brooklyn,2,2012-01-01,2012-01-07,2014-06-25
/organization/teacherspayteachers-com,Teachers Pay Teachers,https://www.teacherspayteachers.com/About-Us,Content|E-Commerce|Education|Publishing|Teachers,-,operating,USA,NY,New York City,New York,2,2006-01-01,2014-12-23,2014-12-23
/organization/teachertube,TeacherTube,http://www.teachertube.com,EdTech|Education|K-12 Education|Video|Video on Demand,250000,operating,USA,TX,Dallas,Mckinney,1,2007-03-07,2014-07-17,2014-07-17
/organization/teachlr-com,Teachlr,http://www.teachlr.com,Education|File Sharing|Marketplaces|Social Media,-,operating,VEN,,COL - Other,Caracas,2,2011-05-11,2013-03-10,2015-04-20
